date,annee,zone,nom_jour_ferie
2001-01-01,2001,Guyane,1er janvier
2001-04-16,2001,Guyane,Lundi de Pâques
2001-05-01,2001,Guyane,1er mai
2001-05-08,2001,Guyane,8 mai
2001-05-24,2001,Guyane,Ascension
2001-06-04,2001,Guyane,Lundi de Pentecôte
2001-06-10,2001,Guyane,Abolition de l'esclavage
2001-07-14,2001,Guyane,14 juillet
2001-08-15,2001,Guyane,Assomption
2001-11-01,2001,Guyane,Toussaint
2001-11-11,2001,Guyane,11 novembre
2001-12-25,2001,Guyane,Jour de Noël
2002-01-01,2002,Guyane,1er janvier
2002-04-01,2002,Guyane,Lundi de Pâques
2002-05-01,2002,Guyane,1er mai
2002-05-08,2002,Guyane,8 mai
2002-05-09,2002,Guyane,Ascension
2002-05-20,2002,Guyane,Lundi de Pentecôte
2002-06-10,2002,Guyane,Abolition de l'esclavage
2002-07-14,2002,Guyane,14 juillet
2002-08-15,2002,Guyane,Assomption
2002-11-01,2002,Guyane,Toussaint
2002-11-11,2002,Guyane,11 novembre
2002-12-25,2002,Guyane,Jour de Noël
2003-01-01,2003,Guyane,1er janvier
2003-04-21,2003,Guyane,Lundi de Pâques
2003-05-01,2003,Guyane,1er mai
2003-05-08,2003,Guyane,8 mai
2003-05-29,2003,Guyane,Ascension
2003-06-09,2003,Guyane,Lundi de Pentecôte
2003-06-10,2003,Guyane,Abolition de l'esclavage
2003-07-14,2003,Guyane,14 juillet
2003-08-15,2003,Guyane,Assomption
2003-11-01,2003,Guyane,Toussaint
2003-11-11,2003,Guyane,11 novembre
2003-12-25,2003,Guyane,Jour de Noël
2004-01-01,2004,Guyane,1er janvier
2004-04-12,2004,Guyane,Lundi de Pâques
2004-05-01,2004,Guyane,1er mai
2004-05-08,2004,Guyane,8 mai
2004-05-20,2004,Guyane,Ascension
2004-05-31,2004,Guyane,Lundi de Pentecôte
2004-06-10,2004,Guyane,Abolition de l'esclavage
2004-07-14,2004,Guyane,14 juillet
2004-08-15,2004,Guyane,Assomption
2004-11-01,2004,Guyane,Toussaint
2004-11-11,2004,Guyane,11 novembre
2004-12-25,2004,Guyane,Jour de Noël
2005-01-01,2005,Guyane,1er janvier
2005-03-28,2005,Guyane,Lundi de Pâques
2005-05-01,2005,Guyane,1er mai
2005-05-05,2005,Guyane,Ascension
2005-05-08,2005,Guyane,8 mai
2005-05-16,2005,Guyane,Lundi de Pentecôte
2005-06-10,2005,Guyane,Abolition de l'esclavage
2005-07-14,2005,Guyane,14 juillet
2005-08-15,2005,Guyane,Assomption
2005-11-01,2005,Guyane,Toussaint
2005-11-11,2005,Guyane,11 novembre
2005-12-25,2005,Guyane,Jour de Noël
2006-01-01,2006,Guyane,1er janvier
2006-04-17,2006,Guyane,Lundi de Pâques
2006-05-01,2006,Guyane,1er mai
2006-05-08,2006,Guyane,8 mai
2006-05-25,2006,Guyane,Ascension
2006-06-05,2006,Guyane,Lundi de Pentecôte
2006-06-10,2006,Guyane,Abolition de l'esclavage
2006-07-14,2006,Guyane,14 juillet
2006-08-15,2006,Guyane,Assomption
2006-11-01,2006,Guyane,Toussaint
2006-11-11,2006,Guyane,11 novembre
2006-12-25,2006,Guyane,Jour de Noël
2007-01-01,2007,Guyane,1er janvier
2007-04-09,2007,Guyane,Lundi de Pâques
2007-05-01,2007,Guyane,1er mai
2007-05-08,2007,Guyane,8 mai
